,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
170,Tata Communications,4.0k,3.6k,Telecom - Pune +98 other locations,22.9k,271,25,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
171,Macleods Pharmaceuticals,3.6k,3.6k,Pharma - Mumbai +115 other locations,15k,222,5,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
172,Hetero,3.8k,3.6k,"Pharma - Hyderabad , Secunderabad +59 other locations",14.4k,247,41,Job Security,"Promotions / Appraisal, Salary & Benefits"
173,Thermax Limited,4.2k,3.6k,Industrial Machinery - Pune +222 other locations,12.1k,276,51,"Job Security, Company Culture, Skill Development / Learning",N/A
174,LG Electronics,3.9k,3.6k,Consumer Electronics & Appliances - Pune +278 other locations,10.2k,223,--,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
175,Royal Enfield,4.2k,3.6k,Automobile - Chennai +346 other locations,13.6k,167,--,"Company Culture, Work Life Balance, Work Satisfaction",N/A
176,HDFC Ergo General Insurance,3.9k,3.5k,Insurance - Mumbai +296 other locations,11.5k,165,--,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
177,Aakash Educational Services,3.4k,3.5k,Education & Training - New Delhi +230 other locations,12k,326,75,N/A,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
178,VE Commercial Vehicles,4.0k,3.5k,Automobile - Indore +144 other locations,12.8k,231,18,"Job Security, Skill Development / Learning",Promotions / Appraisal
179,Utkarsh Small Finance Bank,3.8k,3.5k,Banking - Varanasi +352 other locations,10.2k,241,11,N/A,Promotions / Appraisal
180,Carelon Global Solutions,3.9k,3.4k,"Software Product - Bangalore , Bengaluru +17 other locations",25.5k,380,21,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
181,Cummins,4.3k,3.4k,Industrial Machinery - Pune +106 other locations,14.8k,250,92,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
182,DCB Bank,3.8k,3.4k,Banking - Mumbai +326 other locations,9.3k,195,242,Work Life Balance,Promotions / Appraisal
183,Viatris,4.2k,3.4k,"Pharma - Hyderabad , Secunderabad +75 other locations",13.6k,145,5,"Salary & Benefits, Job Security, Work Life Balance",N/A
184,Berger Paints,3.7k,3.4k,Chemicals - Kolkata +302 other locations,8.9k,298,210,N/A,"Promotions / Appraisal, Company Culture, Work Life Balance"
185,Bank of America,4.2k,3.4k,"Banking - Gurgaon , Gurugram +33 other locations",26k,257,2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
186,Publicis Sapient,3.5k,3.4k,"IT Services & Consulting - Bangalore , Bengaluru +44 other locations",27.4k,641,263,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
187,Jubilant Foods Works,3.7k,3.4k,Hospitality - New Delhi +233 other locations,8.2k,201,116,N/A,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
188,American Express,4.1k,3.4k,"Financial Services - Gurgaon , Gurugram +49 other locations",21.6k,381,159,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
189,PVR Inox,3.9k,3.4k,Media & Entertainment - New Delhi +148 other locations,9.2k,177,8,Skill Development / Learning,Promotions / Appraisal
190,Hindalco Industries,4.2k,3.4k,Metals & Mining - Sambalpur +112 other locations,10.9k,237,11,"Job Security, Work Life Balance, Skill Development / Learning",N/A
191,Jindal Steel and Power,3.9k,3.4k,Iron & Steel - Angul +154 other locations,14.1k,342,33,Skill Development / Learning,Promotions / Appraisal
192,Subros,3.8k,3.4k,Auto Components - Noida +79 other locations,11.9k,184,2,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
193,Lenskart,3.2k,3.4k,Internet - New Delhi +211 other locations,11.1k,347,142,N/A,"Promotions / Appraisal, Company Culture, Work Life Balance"
194,Automatic Data Processing (ADP),4.0k,3.3k,"Software Product - Hyderabad , Secunderabad +37 other locations",20.3k,252,27,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
195,RBL Bank,3.6k,3.3k,Banking - Mumbai +253 other locations,17.1k,194,32,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
196,Alembic Pharmaceuticals,4.0k,3.3k,Pharma - Vadodara +171 other locations,14.3k,218,71,"Salary & Benefits, Work Life Balance",N/A
197,Pidilite Industries,4.3k,3.3k,Chemicals - Mumbai +280 other locations,10.2k,222,1,"Job Security, Company Culture, Work Life Balance",N/A
198,Samvardhana Motherson Group,3.7k,3.3k,Auto Components - Noida +86 other locations,12.1k,232,16,Job Security,"Company Culture, Work Life Balance, Work Satisfaction"
199,Godrej & Boyce Manufacturing,3.9k,3.3k,Consumer Electronics & Appliances - Mumbai +143 other locations,14.7k,191,40,Job Security,Promotions / Appraisal
200,State Street Corporation,3.7k,3.3k,"Financial Services - Bangalore , Bengaluru +30 other locations",28.3k,241,1,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
201,Abbott,4.1k,3.2k,Pharma - Mumbai +193 other locations,10.9k,156,241,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
202,Sodexo,4.1k,3.3k,Facility Management Services - Mumbai +146 other locations,9.6k,172,2k,"Work Life Balance, Company Culture, Job Security",N/A
203,Bharat Electronics,4.2k,3.2k,"Electronics Manufacturing - Bangalore , Bengaluru +73 other locations",11.9k,221,1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
204,Dabur,3.9k,3.2k,FMCG - New Delhi +294 other locations,8k,292,21,"Salary & Benefits, Job Security",Promotions / Appraisal
205,Maersk,4.1k,3.2k,Logistics - Pune +45 other locations,17.8k,217,237,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
206,Birlasoft,3.6k,3.2k,IT Services & Consulting - Pune +45 other locations,28.3k,299,7,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
207,Escorts Kubota Limited,4.1k,3.2k,Automobile - Faridabad +141 other locations,12.1k,244,5,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
208,Aarti Industries,4.1k,3.2k,Agro Chemicals - Bharuch +53 other locations,13.5k,295,36,"Job Security, Work Life Balance, Company Culture",N/A
209,Indian Oil Corporation,4.4k,3.2k,Oil & Gas - New Delhi +290 other locations,7.3k,217,--,"Company Culture, Work Life Balance, Work Satisfaction",N/A
210,Synechron,3.5k,3.2k,IT Services & Consulting - Pune +31 other locations,27.7k,373,136,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
211,Reliance Digital,4.1k,3.2k,Retail - Mumbai +354 other locations,8k,141,--,"Skill Development / Learning, Job Security, Company Culture",N/A
212,Motilal Oswal Financial Services,3.6k,3.1k,Financial Services - Mumbai +150 other locations,10.7k,324,42,N/A,"Work Satisfaction, Promotions / Appraisal, Work Life Balance"
213,PNB MetLife,3.4k,3.1k,Insurance - New Delhi +380 other locations,7.7k,165,347,N/A,"Job Security, Company Culture, Work Satisfaction"
214,Ipca Laboratories,3.9k,3.1k,Pharma - Mumbai +148 other locations,10.9k,169,29,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
215,Reliance Projects & Property Management Services,4.0k,3.1k,IT Services & Consulting - Kolkata +573 other locations,6.9k,182,--,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
216,Cogent E Services,3.2k,3.2k,Noida +47 other locations,9.5k,258,1,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
217,Glenmark Pharmaceuticals,3.9k,3.1k,Pharma - Mumbai +159 other locations,11.4k,155,22,N/A,Promotions / Appraisal
218,Kyndryl,4.0k,3.1k,"IT Services & Consulting - Bangalore , Bengaluru +33 other locations",22.4k,196,84,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
219,Ford Motor,4.3k,3.1k,Automobile - Chennai +123 other locations,14.2k,161,2,"Company Culture, Work Life Balance, Salary & Benefits",N/A
220,"NTT DATA, Inc.",4.0k,3.1k,"IT Services & Consulting - Bangalore , Bengaluru +32 other locations",22.4k,133,844,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
221,Kogta Financial India Limited,4.7k,3.1k,NBFC - Jaipur +231 other locations,1.7k,89,33,"Company Culture, Work Life Balance, Work Satisfaction",N/A
222,Johnson Controls,3.6k,3.1k,Industrial Automation - Pune +52 other locations,16.4k,271,167,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
223,UBS,3.9k,3k,Financial Services - Pune +19 other locations,29.2k,350,--,"Work Life Balance, Company Culture",Promotions / Appraisal
224,Kotak Mahindara Life Insurance,3.7k,3.1k,Insurance - Mumbai +234 other locations,11.5k,233,1.8k,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
225,JK Cement,4.1k,3k,Building Material - New Delhi +295 other locations,9.2k,287,--,"Salary & Benefits, Company Culture, Work Life Balance",N/A
226,MRF Tyres,3.6k,3k,Auto Components - Chennai +181 other locations,11.6k,322,--,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
227,Alkem Laboratories,3.9k,3k,Pharma - Mumbai +179 other locations,9.1k,166,63,N/A,"Job Security, Promotions / Appraisal"
228,Aditya Birla Sun Life Insurance,4.0k,3.1k,Insurance - Mumbai +437 other locations,9.1k,148,--,"Company Culture, Work Life Balance, Job Security",N/A
229,24/7 Customer,3.5k,3k,"Software Product - Bangalore , Bengaluru +35 other locations",13k,179,44,N/A,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
230,Future Group,4.2k,3k,Retail - Mumbai +204 other locations,8.1k,80,--,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
231,Grasim Industries,4.0k,3k,Building Material - Bharuch +204 other locations,10.8k,229,4,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
232,KPIT Technologies,3.4k,3k,Software Product - Pune +40 other locations,21.1k,303,8,N/A,"Promotions / Appraisal, Job Security, Company Culture"
233,Marpu Foundation,4.8k,3k,"Non-Profit - Hyderabad , Secunderabad +57 other locations",52,88,--,"Company Culture, Work Life Balance, Work Satisfaction",N/A
234,Vishal Mega Mart,3.7k,3k,Retail - New Delhi +345 other locations,6.1k,172,5,Salary & Benefits,"Company Culture, Work Satisfaction, Work Life Balance"
235,Tata Capital,4.0k,3k,NBFC - Mumbai +291 other locations,9.6k,154,1.5k,"Job Security, Company Culture, Skill Development / Learning",N/A
236,Honda Motorcycle & Scooter,4.1k,3k,"Automobile - Gurgaon , Gurugram +260 other locations",10.6k,169,--,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
237,IGT Solutions,3.3k,3k,IT Services & Consulting - New Delhi +46 other locations,12.3k,232,118,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
238,Hindustan Coca Cola Beverages,4.1k,3k,"Beverage - Bangalore , Bengaluru +243 other locations",7.1k,145,63,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
239,HARMAN,3.8k,3k,"Consumer Electronics & Appliances - Bangalore , Bengaluru +36 other locations",23.5k,274,338,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
240,Ceat Tyres,4.0k,2.9k,Auto Components - Nagpur +128 other locations,12.1k,181,--,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
241,NatWest Group,4.0k,2.9k,"Banking - Gurgaon , Gurugram +24 other locations",19.2k,213,--,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
242,Reliance Nippon Life Insurance,3.6k,2.9k,Insurance - Mumbai +462 other locations,8k,148,32,N/A,"Work Satisfaction, Job Security, Promotions / Appraisal"
243,Indian Air Force,4.6k,2.9k,Defence & Aerospace - New Delhi +128 other locations,5.1k,59,--,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
244,ABB,4.1k,2.9k,"Industrial Machinery - Bangalore , Bengaluru +101 other locations",15.8k,247,--,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
245,DTDC Express,3.7k,2.9k,Logistics - New Delhi +250 other locations,8.1k,166,16,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
246,InterGlobe Aviation,3.6k,2.8k,Aviation - New Delhi +96 other locations,12.8k,333,38,N/A,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
247,Conduent,3.4k,2.9k,"BPO - Bangalore , Bengaluru +32 other locations",16.7k,205,39,N/A,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
248,ArcelorMittal Nippon Steel,4.1k,2.9k,Iron & Steel - Surat +79 other locations,10.3k,244,9,"Job Security, Work Life Balance, Skill Development / Learning",N/A
249,GeBBS Healthcare Solutions,3.7k,2.8k,Healthcare - Mumbai +23 other locations,11.3k,154,53,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
250,RSPL Group,4.1k,2.8k,FMCG - Kanpur +228 other locations,8.9k,206,27,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
251,Tata AIG,4.1k,2.8k,Insurance - Mumbai +245 other locations,10.9k,164,149,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
252,Square Yards,3.7k,2.8k,"Internet - Gurgaon , Gurugram +48 other locations",8.6k,208,60,N/A,N/A
253,Max Healthcare,4.0k,2.8k,Healthcare - New Delhi +70 other locations,9.7k,158,77,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
254,UPL,4.1k,2.8k,Agro Chemicals - Ankleshwar +175 other locations,10.7k,189,44,"Job Security, Work Life Balance, Skill Development / Learning",N/A
255,Alstom Transportation,3.7k,2.8k,"Engineering & Construction - Bangalore , Bengaluru +73 other locations",12.9k,253,124,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
256,UNO Minda,4.0k,2.8k,Auto Components - Pune +97 other locations,9.6k,195,14,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
257,CMS IT Services,3.1k,2.7k,IT Services & Consulting - Mumbai +150 other locations,9.8k,144,33,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
258,S&P Global,4.0k,2.7k,"Analytics & KPO - Hyderabad , Secunderabad +42 other locations",18.1k,293,400,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
259,Tata Technologies,3.6k,2.8k,Engineering & Construction - Pune +48 other locations,20.6k,278,104,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
260,Barclays,3.8k,2.7k,Banking - Pune +36 other locations,26.3k,286,--,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
261,Walmart,3.6k,2.7k,"Retail - Bangalore , Bengaluru +87 other locations",18.5k,404,45,N/A,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
262,PepsiCo,4.0k,2.7k,"Food Processing - Hyderabad , Secunderabad +256 other locations",11.4k,212,335,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
263,UnitedHealth,4.0k,2.7k,"Healthcare - Hyderabad , Secunderabad +16 other locations",15.7k,84,--,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
264,Varroc Group,3.6k,2.7k,Auto Components - Pune +60 other locations,8.9k,186,7,N/A,"Promotions / Appraisal, Job Security, Company Culture"
265,Amazon Transportation Services,4.2k,2.7k,"Hyderabad , Secunderabad +215 other locations",7.6k,235,--,"Salary & Benefits, Company Culture, Skill Development / Learning",N/A
266,Titan Company,4.3k,2.7k,"Retail - Bangalore , Bengaluru +165 other locations",8.8k,165,323,"Company Culture, Job Security, Work Life Balance",N/A
267,Whitehat jr,3.4k,2.7k,EdTech - Mumbai +48 other locations,9.4k,262,--,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
268,ACC,3.9k,2.7k,Building Material - Mumbai +246 other locations,8.8k,209,3,N/A,Promotions / Appraisal
269,Croma,4.0k,2.7k,Retail - Mumbai +173 other locations,8k,148,53,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
270,Dilip Buildcon,4.0k,2.7k,Engineering & Construction - Bhopal +210 other locations,7.9k,155,10,"Work Satisfaction, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
271,Zensar Technologies,3.7k,2.7k,IT Services & Consulting - Pune +28 other locations,25.1k,258,394,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
272,Torrent Pharmaceuticals,3.9k,2.6k,Pharma - Ahmedabad +113 other locations,9.9k,134,27,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
273,Bajaj Allianz General Insurance,3.8k,2.7k,Insurance - Pune +259 other locations,8.5k,105,290,Salary & Benefits,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
274,Mankind Pharma,3.9k,2.6k,Pharma - New Delhi +217 other locations,8.5k,210,15,Salary & Benefits,N/A
275,Societe Generale Global Solution Centre,3.7k,2.6k,"IT Services & Consulting - Bangalore , Bengaluru +24 other locations",20.9k,270,25,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
276,Shoppers Stop,4.1k,2.6k,Retail - Mumbai +78 other locations,6.8k,120,38,"Company Culture, Job Security, Work Life Balance",N/A
277,Nokia,4.1k,2.6k,"Telecom - Bangalore , Bengaluru +166 other locations",14.8k,285,220,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
278,Afcons Infrastructure,4.2k,2.6k,Engineering & Construction - Mumbai +111 other locations,7.9k,223,7,"Job Security, Skill Development / Learning, Company Culture",N/A
279,PhonePe,4.0k,2.6k,"FinTech - Bangalore , Bengaluru +312 other locations",10.8k,337,378,"Salary & Benefits, Company Culture, Work Life Balance",N/A
280,TVS Credit,4.2k,2.6k,NBFC - Chennai +373 other locations,6.7k,121,44,"Company Culture, Work Life Balance, Job Security",N/A
281,Fiserv,3.0k,2.6k,FinTech - Pune +32 other locations,17.8k,180,57,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
282,I Process Services,3.9k,2.6k,Mumbai +364 other locations,5.2k,112,--,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
283,HDFC Sales,4.0k,2.6k,Financial Services - Mumbai +314 other locations,7.9k,173,45,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
284,Quest Global,3.6k,2.6k,"IT Services & Consulting - Bangalore , Bengaluru +42 other locations",19.2k,323,147,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
285,Fujitsu,3.8k,2.5k,IT Services & Consulting - Pune +39 other locations,16.3k,196,43,"Work Life Balance, Company Culture",Promotions / Appraisal
286,Apollo Tyres,4.0k,2.5k,Auto Components - Chennai +165 other locations,9.3k,138,--,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
287,Capita,3.6k,2.5k,IT Services & Consulting - Pune +29 other locations,13.4k,153,62,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
288,MSN Laboratories,3.7k,2.5k,"Pharma - Hyderabad , Secunderabad +86 other locations",8.6k,145,21,Job Security,"Company Culture, Work Life Balance, Work Satisfaction"
289,Suzlon Group,4.0k,2.5k,Power - Pune +124 other locations,7.2k,135,19,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
290,Flex,4.0k,2.5k,Electronics Manufacturing - Chennai +43 other locations,16.3k,197,48,"Company Culture, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
291,IDFC FIRST Bharat,4.4k,2.5k,Financial Services - Chennai +349 other locations,4.5k,115,--,"Salary & Benefits, Company Culture, Job Security",N/A
292,Nestle,3.9k,2.4k,"FMCG - Gurgaon , Gurugram +268 other locations",9.2k,249,60,"Salary & Benefits, Job Security, Skill Development / Learning",Promotions / Appraisal
293,Eternal Limited,3.7k,2.5k,"Internet - Gurgaon , Gurugram +212 other locations",12.9k,324,12,N/A,"Promotions / Appraisal, Job Security, Work Life Balance"
294,Sahrudaya Healthcare (Medicover Hospitals),4.6k,2.5k,"Healthcare - Hyderabad , Secunderabad +43 other locations",3.1k,133,29,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
295,ElasticRun,3.5k,2.4k,Logistics - Pune +374 other locations,6.1k,259,16,N/A,"Job Security, Promotions / Appraisal, Work Life Balance"
296,Shree Cement,3.8k,2.4k,Building Material - Beawar +240 other locations,9.2k,169,--,N/A,"Promotions / Appraisal, Job Security"
297,Jindal Stainless,4.1k,2.4k,Iron & Steel - Jajpur +69 other locations,10.1k,235,2,"Job Security, Work Life Balance, Skill Development / Learning",N/A
298,IKS Health,3.6k,2.4k,Analytics & KPO - Mumbai +26 other locations,10.1k,239,19,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
299,Landmark Group,3.9k,2.4k,"Retail - Bangalore , Bengaluru +157 other locations",8.8k,156,9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
300,Yazaki,3.8k,2.4k,Auto Components - Pune +85 other locations,8k,147,1,N/A,Promotions / Appraisal
301,GATI-KWE,3.9k,2.4k,"Logistics - Hyderabad , Secunderabad +156 other locations",5.2k,91,3,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
302,Statestreet HCL Services,3.4k,2.4k,BPO - Chennai +17 other locations,15.2k,213,--,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
303,DS Group,4.0k,2.4k,FMCG - Noida +260 other locations,6.8k,171,28,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
304,Exide Industries,3.5k,2.4k,Auto Components - Kolkata +195 other locations,7.9k,186,64,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
305,AGS Health,4.0k,2.4k,Analytics & KPO - Chennai +50 other locations,10.6k,172,43,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
306,KPMG Global Services,3.5k,2.4k,"Management Consulting - Bangalore , Bengaluru +36 other locations",20.9k,234,1,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
307,Blue Dart Express Ltd,4.0k,2.4k,Logistics - Mumbai +258 other locations,6.2k,106,8,"Job Security, Company Culture",Promotions / Appraisal
308,Tata Elxsi,3.7k,2.4k,"IT Services & Consulting - Bangalore , Bengaluru +27 other locations",19.9k,316,59,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
309,Indus Towers,3.7k,2.4k,"Hardware & Networking - Gurgaon , Gurugram +199 other locations",8k,194,25,N/A,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
310,VVDN Technologies,3.6k,2.4k,"IT Services & Consulting - Gurgaon , Gurugram +41 other locations",11.8k,218,5,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
311,Sterlite Technologies,3.8k,2.3k,Hardware & Networking - Aurangabad +96 other locations,10k,169,79,N/A,"Promotions / Appraisal, Job Security"
312,Britannia,4.0k,2.4k,"FMCG - Bangalore , Bengaluru +264 other locations",7.5k,184,3,"Job Security, Skill Development / Learning",Promotions / Appraisal
313,TVS Supply Chain Solutions,3.8k,2.3k,Chennai +144 other locations,8k,138,3,N/A,"Promotions / Appraisal, Salary & Benefits"
314,Micro Labs,3.6k,2.4k,"Pharma - Bangalore , Bengaluru +138 other locations",9.4k,135,12,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
315,Shell,4.0k,2.4k,"Oil & Gas - Bangalore , Bengaluru +85 other locations",12.9k,207,27,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security"
316,Sammaan Capital Limited,3.7k,2.3k,NBFC - New Delhi +197 other locations,6.5k,105,7,N/A,"Promotions / Appraisal, Job Security"
317,XpressBees,3.7k,2.4k,Pune +267 other locations,7.7k,177,8,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
318,BlackBuck,3.7k,2.3k,"Internet - Bangalore , Bengaluru +350 other locations",6.1k,193,9,N/A,"Job Security, Promotions / Appraisal"
319,Blinkit,3.7k,2.4k,"Internet - Gurgaon , Gurugram +93 other locations",9.7k,221,--,N/A,"Promotions / Appraisal, Job Security, Company Culture"
320,Dalmia Bharat Cement,4.0k,2.3k,Building Material - Guwahati +234 other locations,8.1k,150,1,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
321,Bajaj Electricals,4.0k,2.3k,Consumer Electronics & Appliances - Mumbai +220 other locations,7.6k,129,38,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
322,Domino's Pizza,3.9k,2.3k,New Delhi +230 other locations,4.2k,97,--,"Skill Development / Learning, Salary & Benefits",N/A
323,SRF,4.1k,2.3k,Chemicals - Bharuch +65 other locations,8.2k,188,29,"Job Security, Salary & Benefits, Company Culture",N/A
324,Paras Hospital,4.4k,2.3k,Healthcare - Patna +57 other locations,3k,88,24,"Work Life Balance, Skill Development / Learning, Company Culture",N/A
325,G4S,3.9k,2.3k,"Law Enforcement & Security - Gurgaon , Gurugram +146 other locations",4.8k,108,113,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
326,KFintech,3.5k,2.3k,"FinTech - Hyderabad , Secunderabad +105 other locations",10.1k,148,8,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
327,Voltas,4.0k,2.3k,Consumer Electronics & Appliances - Mumbai +183 other locations,8.1k,146,7,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
328,Kansai Nerolac Paints,3.8k,2.3k,Chemicals - Mumbai +220 other locations,7k,161,62,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
329,Patanjali Ayurved,3.9k,2.3k,FMCG - Haridwar +286 other locations,6.3k,119,--,Work Life Balance,Promotions / Appraisal
330,ZS,3.3k,2.3k,Management Consulting - Pune +16 other locations,17.2k,472,154,N/A,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
331,Capgemini Engineering,3.4k,2.3k,"IT Services & Consulting - Bangalore , Bengaluru +27 other locations",16k,377,100,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
332,Fortis Healthcare,4.0k,2.2k,Healthcare - New Delhi +64 other locations,7.2k,138,93,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
333,Sonalika Tractors,3.6k,2.2k,Automobile - Hoshiarpur +174 other locations,8.3k,140,--,Job Security,"Company Culture, Promotions / Appraisal, Work Life Balance"
334,McDonald's,4.0k,2.2k,New Delhi +144 other locations,4.6k,129,4,"Skill Development / Learning, Company Culture, Job Security",N/A
335,ACT Fibernet,4.0k,2.3k,"Telecom - Hyderabad , Secunderabad +51 other locations",7.4k,141,42,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal
336,Alldigi Tech,4.0k,2.3k,BPO - Chennai +33 other locations,7k,215,24,"Job Security, Company Culture, Work Life Balance",N/A
337,Ajanta Pharma,4.0k,2.2k,Pharma - Mumbai +114 other locations,8.5k,130,25,"Job Security, Work Life Balance",Promotions / Appraisal
338,ESAF Small Finance Bank,3.7k,2.2k,Banking - Thrissur +377 other locations,7k,129,33,N/A,"Promotions / Appraisal, Work Satisfaction"
339,Tractors and Farm Equipment,4.0k,2.2k,Industrial Machinery - Chennai +176 other locations,8k,116,22,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
340,Axis Direct,3.8k,2.2k,Financial Services - Mumbai +264 other locations,4.8k,81,25,N/A,"Promotions / Appraisal, Work Satisfaction"
341,KocharTech,3.9k,2.2k,IT Services & Consulting - Kolkata +26 other locations,3.7k,77,57,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
342,Blue Star,4.1k,2.2k,Consumer Electronics & Appliances - Mumbai +142 other locations,9.1k,175,210,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
343,Movate,3.3k,2.2k,IT Services & Consulting - Chennai +35 other locations,13.9k,267,83,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
